ID,Answer,Category,Keywords,From date,To date,Question,Question,More Questions,
1,"Originally, <strong>Linux</strong> refers to a core component (called the kernel) that fits within the <strong>GNU</strong> system. What users run today are, to be precise, ""<em>distributions of the GNU/Linux system</em>"".
        In practice, the word ""Linux"" caught on much better (unsurprisingly), and today people refer to the whole system as simply ""Linux"". This causes a great deal of controversy.
        Calling the system <em>GNU/Linux</em> is much more meaningful, technically (end-users use a lot of ""GNU"" and a little of ""Linux"") but also philosophically: the strength and momentum of the <a href=""https://www.softwareliberty.com/"" rel=""external"">Free Software</a> movement started with and are still carried by <a href=""https://www.gnu.org/"" rel=""external"">the GNU project</a>.
        Calling the system <em>Linux</em> is more practical and appealing for computer users that often believe Windows is the only thing on earth.
        To avoid confusion, we use ""GNU/Linux"" to refer to operating system distributions that include <a href=""https://www.gnu.org/"" rel=""external"">GNU</a> software and the <a href=""https://www.kernel.org/"" rel=""external"">Linux kernel</a>. When we use ""Linux"" without the GNU part, we refer to the kernel.","name, linux","gnu, linux, name",8/23/2016,7/12/2017,Are "GNU/Linux" and "Linux" any different?,You keep referring to one and the other alternatively. What is this all about?,,
2,"When Richard Stallman started to design GNU, the main system in use was Unix, which is proprietary. Because GNU is similar in function to (and compatible with) Unix, but is <a href=""https://www.softwareliberty.com/"" rel=""external"">free software</a>, he coined the term GNU which stands for <strong>GNU's Not Unix</strong>. It's a <a href=""https://en.wikipedia.org/wiki/Recursive_acronym"" rel=""external"">recursive acronym</a>. If you enjoy that kind of humour, check out what <a href=""https://www.gnu.org/software/hurd/hurd.html"" rel=""external"">GNU Hurd</a> means.","software, name","gnu, software",8/23/2016,,And what has that software to do with a GNU?,,,
3,Yes. You cannot sell any random software under the name of Linux&reg;. The trademark is held by <a href="http://www.linuxmark.org/" rel="external">the Linux Mark Institute</a>.,"linux, law","linux, trademark",,,Is Linux a registered trademark?,has Linux registered a trade mark?,Is GNU/Linux a registered trademark?,has GNU/Linux registered a trade mark?
4,"No. GNU/Linux is by far the most widely used free system; however a number of other systems exist.
        These include the UNIX derivatives <a href=""https://freebsd.org/"" rel=""external"">FreeBSD</a>, <a href=""https://netbsd.org/"" rel=""external"">NetBSD</a>, <a href=""https://openbsd.org/"" rel=""external"">OpenBSD</a>, the BeOS clone <a href=""https://haiku-os.org/"" rel=""external"">Haiku OS</a>, the Windows NT clone <a href=""http://www.reactos.com/"" rel=""external"">ReactOS</a>, the DOS clone <a href=""http://www.freedos.org/"" rel=""external"">FreeDOS</a>, and <a href=""https://www.syllable.org/"" rel=""external"">Syllable</a>, just to name a few.","linux, market","linux, free, operating system",,7/12/2017,Is GNU/Linux the only free operating system available?,,,
5,"No. There are a few <a href=""https://www.softwareliberty.com/"" rel=""external"">free software</a> components in macOS, and it is technically similar to GNU/Linux systems. But overall, it is proprietary software: all the <a href=""/en/windows/"">issues about Windows</a> apply to it as well.","linux, distribution","linux, distribution",,,Is macOS a distribution of GNU/Linux?,,,
6,"Yes and no. Technically, the great majority of open source programs are free software and vice-versa.
        In terms of philosophy, things are quite different. The term &quot;open source&quot; was coined to make &quot;free software&quot; more attractive, its supporters see open source software as a better way to make software.
        Supporters of the ""free software"" term value the freedom, not merely the way software is made, and thus argue that the term ""open source"" <a href=""https://www.gnu.org/philosophy/open-source-misses-the-point.html"" rel=""external"">misses the point</a>.
        Which term you employ simply depends on your vision of software.",open source,"open source, free software",,,Are "Open Source" and "Free Software" the same thing?,,,
7,"The concept of <a href=""https://www.softwareliberty.com/"" rel=""external"">free software</a>, refers to freedom, not price. You have the freedom to copy, study, modify, and give free software away.
        Most companies developing free software make money by selling <strong>services</strong> around their software, rather than the software itself. This is sometimes done by selling everything as a package: the customer buys the CD, book, and support contract at once. The software can still guarantee your freedoms.
        More: <a href=""/en/linux/misunderstanding_free_software/"">How to Misunderstand Free Software</a> | <a href=""https://en.wikibooks.org/wiki/FLOSS_Concept_Booklet"" rel=""external"">FLOSS concept booklet</a>.",,,,,"Why are some GNU/Linux distributions sold, not given away?","Some websites actually <em>sell</em> distributions of GNU/Linux. So, why do you write it is ""free as speech and available at no charge""?",,
8,"There are typically three types of policies regarding the inclusion of non-free software:
        <ul>
          <li>Some GNU/Linux distributors allow non-free software in order to enable hardware functionality.          This happens because some hardware manufacturers such as NVidia do not care about their customers' freedoms, and only release restricting firmware and drivers (some of them don't even release anything, like Broadcom). These are available at no cost (they are freeware) but under restrictive licenses. Distributions such as <a href=""https://www.ubuntu.com/"" rel=""external"">Ubuntu</a> thus include such components to improve hardware compatibility.</li>
          <li>Some GNU/Linux distributors do not compromise on the freedom of software, and make sure their distribution are entirely free. Such is the case of <a href=""https://trisquel.info/"" rel=""external"">Trisquel</a>, which is a Ubuntu derivative with all restricting components removed.</li>
          <li>Some GNU/Linux distributors assemble free and restrictive software without distinction. Such distributors would not like users to think of their freedom, and rather advertise only the technical capabilities of their product. Using such distributions isn't much better than <a href=""/en/windows/"">using Windows</a>. We value your freedom and recommend you choose carefully!</li>
        </ul>","linux, distribution","linux, distribution, no charge",,,Why are some GNU/Linux distributions not fully free?,"Some GNU/Linux distributions are available at no charge, but include restrictive software. Why is it so?",,
9,"It's quite common for Mac users to believe they are exempt from <a href=""/en/windows/"">restrictions associated with Windows</a>. Unfortunately such is not the case.
        macOS does have some low-level components which are <a href=""https://www.softwareliberty.com/"" rel=""external"">free software</a>; and Apple puts less energy into customer lock-in (with some notable efforts such as BootCamp).
        However, the end-user is still fundamentally restricted &mdash; because of the proprietary license, he/she cannot use macOS for all purposes, nor copy, study, modify, or redistribute it.
        Happily, because these freedoms matter a lot, it's possible to run popular GNU/Linux distributions (such as <a href=""https://www.ubuntu.com/"" rel=""external"">Ubuntu</a>) on Mac computers.","macos, free","macOS, free, operating system",,,Is macOS also a free operating system?,Do all the reasons for avoiding Windows apply to macOS?,,
10,"No. Wherever you read or heard this, you should update your views. GNU/Linux is completely distinct from such things. Whether you want to do them, or whether you prefer <a href=""https://www.magnatune.com/"" rel=""external"">intelligent</a>, <a href=""https://www.jamendo.com/"" rel=""external"">legal downloads</a>, GNU/Linux will work just as well as Windows. Unfortunately you can't identify gangsters by the make of their cars; the same thing goes for their operating system.
        GNU/Linux was made by people who don't like the thought of all the world's computers running just one company's proprietary products. There is certainly nothing wrong with that!
        Read more in the article: <a href=""/en/linux/misunderstanding_free_software/"">How to Misunderstand Free Software</a>.","linux, law","linux, illegal, download, privacy",,,Aren't GNU/Linux users the ones who make illegal downloads?,"Isn't GNU/Linux about cracking, &quot;piracy&quot; and illegal download websites?",,
